Security Name	ATR	ATR2	Close	Stop	Ticker Symbol	Location	
PERTAMA HOLDINGS LIMITED	0.0000	0.0000	0.5200	0.5200	P22	C:\ms\sgx2	
PERENNIAL CHINA RETAIL TRUST	0.0132	0.0263	0.5850	0.5587	N9LU	C:\ms\sgx2	
PEOPLE'S FOOD HOLDINGS LIMITED	0.0495	0.0989	1.2100	1.1111	P05	C:\ms\sgx2	
PENGUIN BOAT INT LTD	0.0021	0.0042	0.0810	0.0768	P13	C:\ms\sgx2	
PEC LTD.	0.0069	0.0137	0.5900	0.5763	IX2	C:\ms\sgx2	
PCI LTD	0.0038	0.0077	0.4150	0.4073	P19	C:\ms\sgx2	
PCA TECHNOLOGY LIMITED	0.0000	0.0001	0.1700	0.1699	P06	C:\ms\sgx2	
PARKWAYLIFE REIT	0.0869	0.1738	2.4900	2.3162	C2PU	C:\ms\sgx2	
PARKSON RETAIL ASIA LIMITED	0.0233	0.0467	1.5950	1.5483	O9E	C:\ms\sgx2	
PAN-UNITED CORPORATION LTD	0.0251	0.0503	0.9800	0.9297	P52	C:\ms\sgx2	
PAN PACIFIC HOTELS GRP LTD	0.0129	0.0259	2.5300	2.5041	H49	C:\ms\sgx2	
PAN HONG PROPERTY GROUP LTD	0.0068	0.0137	0.2400	0.2263	P36	C:\ms\sgx2	
PAN ASIAN WATER SOLUTIONS LTD	0.0008	0.0016	0.0550	0.0534	5EW	C:\ms\sgx2	
PACIFIC HEALTHCARE HLDGS LTD	0.0010	0.0020	0.0770	0.0750	P47	C:\ms\sgx2	
PACIFIC CENTURY REGIONAL DEVTS	0.0090	0.0181	0.2250	0.2069	P15	C:\ms\sgx2	
PACIFIC ANDES (HOLDINGS) LTD	0.0029	0.0057	0.1380	0.1323	P11	C:\ms\sgx2	
P99 HLDGS	0.0043	0.0085	0.0920	0.0835	5UV	C:\ms\sgx2	
OXLEY HOLDINGS LIMITED	0.0126	0.0251	0.3550	0.3299	5UX	C:\ms\sgx2	
OVERSEAS UNION ENTERPRISE LTD	0.0549	0.1099	3.0000	2.8901	LJ3	C:\ms\sgx2	
OVERSEAS EDUCATION LIMITED	0.0180	0.0359	0.7100	0.6741	RQ1	C:\ms\sgx2	
OVERSEA-CHINESE BANKING CORP	0.1855	0.3709	10.3300	9.9591	O39	C:\ms\sgx2	
OUHUA ENERGY HOLDINGS LIMITED	0.0041	0.0082	0.0410	0.0328	AJ2	C:\ms\sgx2	
OTTO MARINE LIMITED	0.0016	0.0032	0.0820	0.0788	G4F	C:\ms\sgx2	
OSSIA INTERNATIONAL LTD	0.0024	0.0047	0.1120	0.1073	O08	C:\ms\sgx2	
OSIM INTERNATIONAL LTD	0.0390	0.0780	2.0200	1.9420	O23	C:\ms\sgx2	
ORIENTAL FOOD (HOLDINGS) LTD.	0.0020	0.0041	0.1430	0.1389	5FI	C:\ms\sgx2	
ONIONTECH LIMITED	0.0002	0.0005	0.0290	0.0285	5HG	C:\ms\sgx2	
OMEGA NAVIGATION ENT INC.	0.0132	0.0264	0.1200	0.0936	O57	C:\ms\sgx2	
OLD CHANG KEE LTD.	0.0068	0.0136	0.5450	0.5314	5ML	C:\ms\sgx2	
OLAM INTERNATIONAL LIMITED	0.0466	0.0932	1.7500	1.6568	O32	C:\ms\sgx2	
OKP HOLDINGS LIMITED	0.0078	0.0157	0.4350	0.4193	5CF	C:\ms\sgx2	
OKH GLOBAL LTD 500	0.0138	0.0275	0.2800	0.2525	S6M	C:\ms\sgx2	
OKH GLOBAL	0.0142	0.0284	0.3100	0.2816	S3N	C:\ms\sgx2	
OGL RESOURCES LIMITED	0.0002	0.0004	0.0380	0.0376	O02	C:\ms\sgx2	
OCI COMPANY LTD GDR R	0.0000	0.0000	0.0000	0.0000	N9I	C:\ms\sgx2	
OCI COMPANY LTD GDR A	0.0000	0.0000	0.0000	0.0000	N9H	C:\ms\sgx2	
OCEANUS GROUP LTD	0.0021	0.0042	0.0490	0.0448	579	C:\ms\sgx2	
OCEAN SKY INTERNATIONAL LTD	0.0027	0.0053	0.2000	0.1947	O05	C:\ms\sgx2	
OCBCCAPCORP(2008) 5.1%NCPS 100	0.1691	0.3382	107.7000	107.3618	GG0	C:\ms\sgx2	
OCBC CAP 3.93%PREF S$400M 2500	0.1220	0.2439	101.3000	101.0561	O31	C:\ms\sgx2	
OCBC BK 5.1%NCPS 100	0.1456	0.2913	103.4800	103.1887	F4B	C:\ms\sgx2	
OCBC 4.2% NCPS	0.0053	0.0106	1.0350	1.0244	O15	C:\ms\sgx2	
OAKWELL ENGINEERING LIMITED	0.0051	0.0102	0.0780	0.0678	584	C:\ms\sgx2	
NTEGRATOR INTERNATIONAL LTD	0.0059	0.0118	0.0890	0.0772	5HC	C:\ms\sgx2	
NSL LTD	0.0133	0.0266	1.4400	1.4134	N02	C:\ms\sgx2	
NOVO GROUP LTD	0.0059	0.0119	0.1690	0.1571	MR8	C:\ms\sgx2	
NORDIC GROUP LIMITED	0.0017	0.0034	0.0800	0.0766	MR7	C:\ms\sgx2	
NOMURA HOLDINGS  INC	0.0000	0.0000	1.9900	1.9900	N33	C:\ms\sgx2	
NOEL GIFTS INTERNATIONAL LTD	0.0022	0.0045	0.2300	0.2255	543	C:\ms\sgx2	
NOBLE GROUP LTD	0.0233	0.0466	1.0400	0.9934	N21	C:\ms\sgx2	
NOBEL DESIGN HOLDINGS LTD	0.0055	0.0111	0.5800	0.5689	547	C:\ms\sgx2	
NIPPECRAFT LIMITED	0.0003	0.0006	0.0420	0.0414	N32	C:\ms\sgx2	
NIKKO AM SINGAPORE STI ETF	0.0302	0.0605	3.3700	3.3095	G3B	C:\ms\sgx2	
NICO STEEL HOLDINGS LIMITED	0.0046	0.0093	0.0930	0.0837	5GF	C:\ms\sgx2	
NH CERAMICS LTD	0.0039	0.0078	0.0840	0.0762	5AC	C:\ms\sgx2	
NEXT-GEN SATELLITE COMM LTD	0.0013	0.0026	0.0120	0.0094	B07	C:\ms\sgx2	
NEW WAVE TECHNOLOGIES LTD	0.0022	0.0043	0.0220	0.0177	5FX	C:\ms\sgx2	
NEW TOYO INT HLDGS LTD	0.0091	0.0181	0.3150	0.2969	N08	C:\ms\sgx2	
NET PACIFIC FIN HLDGS	0.0009	0.0018	0.0430	0.0412	5QY	C:\ms\sgx2	
NERATELECOMMUNICATIONS LTD	0.0146	0.0291	0.6350	0.6059	N01	C:\ms\sgx2	
NEPTUNE ORIENT LINES LTD	0.0185	0.0369	1.1050	1.0681	N03	C:\ms\sgx2	
NEO GROUP LIMITED	0.0188	0.0376	0.4250	0.3874	5UJ	C:\ms\sgx2	
NATURAL COOL HOLDINGS LIMITED	0.0022	0.0044	0.1870	0.1826	5IF	C:\ms\sgx2	
NAM LEE PRESSED METAL INDS LTD	0.0044	0.0088	0.3550	0.3462	G0I	C:\ms\sgx2	
NAM CHEONG LIMITED	0.0112	0.0225	0.2800	0.2575	N4E	C:\ms\sgx2	
MURATA MFG CO. LTD 100	0.0000	0.0000	0.0000	0.0000	M20	C:\ms\sgx2	
MUN SIONG ENGINEERING LIMITED	0.0032	0.0063	0.0850	0.0787	MF6	C:\ms\sgx2	
MULTI-CHEM LIMITED	0.0025	0.0051	0.1340	0.1289	M06	C:\ms\sgx2	
MTQ CORPORATION LTD	0.0503	0.1006	1.5800	1.4794	M05	C:\ms\sgx2	
MOYA ASIA LTD	0.0010	0.0020	0.0410	0.0390	5BT	C:\ms\sgx2	
MOBILEONE LTD	0.1130	0.2260	3.1400	2.9140	B2F	C:\ms\sgx2	
MIYOSHI PRECISION LIMITED	0.0024	0.0049	0.0570	0.0521	M03	C:\ms\sgx2	
MIRACH ENERGY	0.0136	0.0272	0.1480	0.1208	C68	C:\ms\sgx2	
MIDAS HLDGS LIMITED	0.0147	0.0293	0.4950	0.4657	5EN	C:\ms\sgx2	
MICRO-MECHANICS (HOLDINGS) LTD	0.0021	0.0042	0.4500	0.4458	5DD	C:\ms\sgx2	
MFS TECHNOLOGY LTD	0.0050	0.0101	0.1400	0.1299	5BM	C:\ms\sgx2	
MFG INTEGRATION TECHNOLOGY LTD	0.0036	0.0073	0.0760	0.0687	M11	C:\ms\sgx2	
MEWAH INTERNATIONAL INC.	0.0182	0.0364	0.4400	0.4036	MV4	C:\ms\sgx2	
METRO HOLDINGS LIMITED	0.0234	0.0469	0.9500	0.9031	M01	C:\ms\sgx2	
METECH INTERNATIONAL LIMITED	0.0010	0.0019	0.0200	0.0181	QG1	C:\ms\sgx2	
METAX ENGINEERING CORP LIMITED	0.0021	0.0041	0.0770	0.0729	5HV	C:\ms\sgx2	
METAL COMPONENT ENGG LTD	0.0012	0.0025	0.0360	0.0335	5DX	C:\ms\sgx2	
MERMAID MARITIME PUBLIC CO LTD	0.0154	0.0307	0.3700	0.3393	DU4	C:\ms\sgx2	
MERCATOR LINES (SINGAPORE) LTD	0.0026	0.0051	0.1080	0.1029	EE6	C:\ms\sgx2	
MENCAST HOLDINGS LTD.	0.0147	0.0295	0.7200	0.6905	5NF	C:\ms\sgx2	
MEMTECH INTERNATIONAL LTD	0.0010	0.0020	0.0700	0.0680	M26	C:\ms\sgx2	
MEMSTAR TECH	0.0025	0.0050	0.0910	0.0860	5MS	C:\ms\sgx2	
MEGHMANI ORGANICS LIMITED	0.0008	0.0015	0.0700	0.0685	M30	C:\ms\sgx2	
MEGACHEM LIMITED	0.0020	0.0040	0.2950	0.2910	5DS	C:\ms\sgx2	
MEDTECS INTERNATIONAL CORP LTD	0.0033	0.0067	0.0640	0.0573	546	C:\ms\sgx2	
MEDI-FLEX LIMITED	0.0004	0.0009	0.1040	0.1031	5FF	C:\ms\sgx2	
MDR LIMITED	0.0009	0.0017	0.0150	0.0133	A27	C:\ms\sgx2	
MAXI-CASH FIN SVCS CORP LTD	0.0189	0.0377	0.4750	0.4373	5UF	C:\ms\sgx2	
MATEX INTERNATIONAL LIMITED	0.0115	0.0231	0.1460	0.1229	M15	C:\ms\sgx2	
MARY CHIA HOLDINGS LIMITED	0.0020	0.0040	0.0600	0.0560	5OX	C:\ms\sgx2	
MARUWA CO. LTD	0.0000	0.0000	0.0000	0.0000	M12	C:\ms\sgx2	
MARCO POLO MARINE LTD.	0.0064	0.0127	0.4050	0.3923	5LY	C:\ms\sgx2	
MAPLETREE LOGISTICS TRUST	0.0305	0.0610	1.2100	1.1490	M44U	C:\ms\sgx2	
MAPLETREE INDUSTRIAL TRUST	0.0388	0.0776	1.3950	1.3174	ME8U	C:\ms\sgx2	
MAPLETREE GREATER CHINACOMM TR	0.0231	0.0462	1.0150	0.9688	RW0U	C:\ms\sgx2	
MAPLETREE COMMERCIAL TRUST	0.0405	0.0810	1.3350	1.2540	N2IU	C:\ms\sgx2	
MANN SENG METAL INTL LIMITED	0.0015	0.0029	0.0510	0.0481	5QR	C:\ms\sgx2	
MANHATTAN RESOURCES LIMITED	0.0117	0.0235	0.3300	0.3065	L02	C:\ms\sgx2	
MANDARIN ORIENTAL INTL LTD	0.0387	0.0775	1.7300	1.6525	M04	C:\ms\sgx2	
MALAYSIA SMELTING CORP BHD 100	0.0104	0.0209	1.4100	1.3891	NC9	C:\ms\sgx2	
MALACCA TRUST LIMITED	0.0019	0.0038	0.2750	0.2712	5TH	C:\ms\sgx2	
MAGNUS ENERGY GRP LTD	0.0027	0.0054	0.0420	0.0366	576	C:\ms\sgx2	
MACQUARIE INT'L INFRA FUND LTD	0.0210	0.0419	0.1800	0.1381	M41	C:\ms\sgx2	
MACARTHURCOOK PROP SEC FUND	0.0005	0.0011	0.0800	0.0789	A0P	C:\ms\sgx2	
M DEVELOPMENT LTD	0.0003	0.0006	0.0130	0.0124	N14	C:\ms\sgx2	
LYXORETF MSCI EM LATIN AMERICA	0.0540	0.1080	7.0600	6.9520	H1O	C:\ms\sgx2	
LYXOR MSCI TAIWAN INDEX FUND10	0.0021	0.0042	1.0270	1.0228	A9A	C:\ms\sgx2	
LYXOR KOREA 10	0.0162	0.0325	5.0500	5.0175	AO9	C:\ms\sgx2	
LYXOR JAPAN (TOPIX) FUND 10	0.0261	0.0523	1.1200	1.0677	CW4	C:\ms\sgx2	
LYXOR HANG SENG INDEX FUND 10	0.0163	0.0326	2.8700	2.8374	A9B	C:\ms\sgx2	
LYXOR ETF THAI SET 10	0.8187	1.6374	151.9800	150.3426	P2P	C:\ms\sgx2	
LYXOR ETF RUSSIA 10	0.0082	0.0164	3.9200	3.9036	JC7	C:\ms\sgx2	
LYXOR ETF NASDAQ100 10	0.0361	0.0722	12.0100	11.9378	H1Q	C:\ms\sgx2	
LYXOR ETF MSCI WORLD 10	0.0015	0.0031	1.5070	1.5039	H1P	C:\ms\sgx2	
LYXOR ETF MSCI MALAYSIA 10	0.0150	0.0301	10.7900	10.7599	G1M	C:\ms\sgx2	
LYXOR ETF MSCI INDIA 10	0.0780	0.1560	14.1100	13.9540	G1N	C:\ms\sgx2	
LYXOR ETF MSCI EUROPE 10	0.0289	0.0579	13.6500	13.5921	JC5	C:\ms\sgx2	
LYXOR ETF MSCI EMERGING MKT 10	0.0118	0.0237	10.7200	10.6963	H1N	C:\ms\sgx2	
LYXOR ETF MSCI ASIA APEX 50 10	0.0300	0.0600	4.5800	4.5200	G1K	C:\ms\sgx2	
LYXOR ETF INDONESIA 10	0.0528	0.1056	108.3800	108.2744	P2Q	C:\ms\sgx2	
LYXOR ETF EASTERN EUROPE 10	0.0088	0.0176	4.5400	4.5224	H1M	C:\ms\sgx2	
LYXOR ETF DOW JONES IA 10	0.0128	0.0255	15.3000	15.2745	JC6	C:\ms\sgx2	
LYXOR ETF ASIA TECHNOLOGY 10	0.0000	0.0000	25.2900	25.2900	NF4	C:\ms\sgx2	
LYXOR ETF ASIA REAL ESTATE 10	0.1029	0.2058	10.8600	10.6542	MT7	C:\ms\sgx2	
LYXOR ETF ASIA MATERIALS 10	0.0000	0.0000	49.0700	49.0700	NF7	C:\ms\sgx2	
LYXOR ETF ASIA INFRASTRUCT 10	0.0001	0.0001	32.8500	32.8499	NF3	C:\ms\sgx2	
LYXOR ETF ASIA FINANCIALS 10	0.0000	0.0000	26.3100	26.3100	NF5	C:\ms\sgx2	
LYXOR ETF ASIA CON STAP 10	0.0006	0.0011	56.0900	56.0889	NF6	C:\ms\sgx2	
LYXOR COMMODITIES CRBNONENERGY	0.0014	0.0028	2.4200	2.4172	G1O	C:\ms\sgx2	
LYXOR COMMODITIES CRB FUND 10	0.0112	0.0225	2.6500	2.6275	A0W	C:\ms\sgx2	
LYXOR CHINA H 10	0.1488	0.2977	13.7200	13.4223	P58	C:\ms\sgx2	
LYXOR ASIA 10	0.0271	0.0543	4.7000	4.6457	P60	C:\ms\sgx2	
LUZHOU BIO-CHEM TECHNOLOGY LTD	0.0023	0.0046	0.0800	0.0754	L46	C:\ms\sgx2	
LUXKING GROUP HOLDINGS LIMITED	0.0002	0.0004	0.0290	0.0286	L34	C:\ms\sgx2	
LUNG KEE (BERMUDA) HLDGS LTD	0.0000	0.0000	0.4400	0.4400	L09	C:\ms\sgx2	
LUM CHANG HOLDINGS LTD	0.0078	0.0156	0.3550	0.3394	L19	C:\ms\sgx2	
LOYZ ENERGY LIMITED	0.0095	0.0189	0.3400	0.3211	594	C:\ms\sgx2	
LOW KENG HUAT (SINGAPORE) LTD	0.0175	0.0350	0.7550	0.7200	F1E	C:\ms\sgx2	
LOTTVISION LIMITED	0.0017	0.0035	0.0300	0.0265	M22	C:\ms\sgx2	
LORENZO INTERNATIONAL LIMITED	0.0110	0.0220	0.1320	0.1100	5IE	C:\ms\sgx2	
LONZA GROUP LTD	0.0000	0.0000	79.9700	79.9700	O6Z	C:\ms\sgx2	
LONGCHEER HOLDINGS LIMITED	0.0054	0.0108	0.1490	0.1382	L28	C:\ms\sgx2	
LOGISTICS HOLDINGS LIMITED	0.0044	0.0088	0.2150	0.2062	5VI	C:\ms\sgx2	
LIZHONG WHEEL GRP LTD	0.0066	0.0131	0.2300	0.2169	E94	C:\ms\sgx2	
LIPPO-MAPLETREEINDORETAILTRUST	0.0181	0.0363	0.5150	0.4787	D5IU	C:\ms\sgx2	
LIONGOLD CORP LTD	0.0199	0.0397	1.1550	1.1153	A78	C:\ms\sgx2	
LION TECK CHIANG LTD	0.0132	0.0263	0.7200	0.6937	L17	C:\ms\sgx2	
LION ASIAPAC LTD	0.0023	0.0047	0.1800	0.1753	L08	C:\ms\sgx2	
LINDETEVES-JACOBERG LTD	0.0043	0.0085	0.0570	0.0485	L15	C:\ms\sgx2	
LINAIR TECHNOLOGIES LIMITED	0.0006	0.0012	0.0270	0.0258	5FW	C:\ms\sgx2	
LIFEBRANDZ LTD	0.0007	0.0015	0.0090	0.0075	L20	C:\ms\sgx2	
LIBRA GROUP LIMITED	0.0024	0.0047	0.1070	0.1023	5TR	C:\ms\sgx2	
LIANG HUAT ALUMINIUM LTD	0.0010	0.0019	0.0090	0.0071	C4P	C:\ms\sgx2	
LIAN BENG GROUP LTD	0.0154	0.0307	0.5200	0.4893	L03	C:\ms\sgx2	
LI HENG CHEM FIBRE TECH LTD	0.0018	0.0036	0.1300	0.1264	E9A	C:\ms\sgx2	
LHT HOLDINGS LIMITED	0.0054	0.0109	0.1310	0.1201	L10	C:\ms\sgx2	
LERENO BIO-CHEM LTD	0.0004	0.0007	0.0060	0.0053	587	C:\ms\sgx2	
LEE METAL GROUP LTD	0.0072	0.0143	0.3700	0.3557	593	C:\ms\sgx2	
LEE KIM TAH HLDGS LIMITED	0.0054	0.0108	0.7950	0.7842	L25	C:\ms\sgx2	
LEADER ENVIRONMENTAL TECH LTD	0.0022	0.0044	0.0750	0.0706	LS9	C:\ms\sgx2	
LATITUDE TREE INTL GROUP LTD.	0.0023	0.0046	0.1950	0.1904	5OY	C:\ms\sgx2	
LASSETERS INTL HOLDINGS LTD	0.0001	0.0002	0.1700	0.1698	5EL	C:\ms\sgx2	
LANTROVISION	0.0030	0.0061	0.2900	0.2839	Q7W	C:\ms\sgx2	
LANKOM ELECTRONICS LIMITED	0.0000	0.0000	0.0200	0.0200	L22	C:\ms\sgx2	
LAFE TECHNOLOGY LIMITED	0.0024	0.0048	0.0770	0.0722	L05	C:\ms\sgx2	
L.C.DEVELOPMENT LTD	0.0024	0.0048	0.1520	0.1472	L38	C:\ms\sgx2	
KXD DIGITAL ENTERTAINMENT LTD	0.0000	0.0000	0.0100	0.0100	K07	C:\ms\sgx2	
KTL GLOBAL LIMITED	0.0013	0.0026	0.0980	0.0954	EB7	C:\ms\sgx2	
KSH HOLDINGS LIMITED	0.0204	0.0409	0.5750	0.5341	ER0	C:\ms\sgx2	
KS ENERGY SERVICES LIMITED	0.0135	0.0270	0.4050	0.3780	578	C:\ms\sgx2	
KS ENERGY LIMITED 250	0.0032	0.0064	0.4800	0.4736	S2E	C:\ms\sgx2	
KREUZ HOLDINGS LIMITED	0.0404	0.0808	0.7350	0.6542	5RK	C:\ms\sgx2	
KOYO INTERNATIONAL LIMITED	0.0003	0.0006	0.0600	0.0594	5OC	C:\ms\sgx2	
KORI HOLDINGS LIMITED	0.0023	0.0046	0.3800	0.3754	5VC	C:\ms\sgx2	
KOON HOLDINGS LIMITED	0.0031	0.0061	0.2050	0.1989	5DL	C:\ms\sgx2	
KOH BROTHERS GROUP LIMITED	0.0069	0.0138	0.3100	0.2962	K75	C:\ms\sgx2	
KODA LTD	0.0023	0.0045	0.1100	0.1055	5BK	C:\ms\sgx2	
KLW HOLDINGS LTD	0.0016	0.0031	0.0150	0.0119	504	C:\ms\sgx2	
KITCHEN CULTURE HOLDINGS LTD.	0.0014	0.0028	0.2300	0.2272	5TI	C:\ms\sgx2	
KINGSMEN CREATIVES LTD	0.0215	0.0431	0.8900	0.8469	5MZ	C:\ms\sgx2	
KINGBOARD COPPER FOIL HDGS LTD	0.0040	0.0080	0.2000	0.1920	K14	C:\ms\sgx2	
KING WAN CORPORATION LIMITED	0.0124	0.0248	0.3150	0.2902	554	C:\ms\sgx2	
KINERGY LTD.	0.0000	0.0000	0.2450	0.2450	5JT	C:\ms\sgx2	
KIAN HO BEARINGS LTD	0.0062	0.0124	0.2000	0.1876	K22	C:\ms\sgx2	
KHONG GUAN FLOUR MILLING LTD	0.0097	0.0194	2.1500	2.1306	K03	C:\ms\sgx2	
KEPPEL TELE & TRAN	0.0368	0.0736	1.5450	1.4714	K11	C:\ms\sgx2	
KEPPEL REIT 100	0.0442	0.0884	1.4250	1.3366	S2FU	C:\ms\sgx2	
KEPPEL REIT	0.0458	0.0915	1.4200	1.3285	K71U	C:\ms\sgx2	
KEPPEL LAND LTD	0.0860	0.1720	3.7300	3.5580	K17	C:\ms\sgx2	
KEPPEL CORPORATION LIMITED	0.1677	0.3355	10.5200	10.1845	BN4	C:\ms\sgx2	
KEONG HONG HOLDINGS LIMITED	0.0029	0.0058	0.5400	0.5342	5TT	C:\ms\sgx2	
KENCANA AGRI LIMITED	0.0119	0.0238	0.3050	0.2812	F9M	C:\ms\sgx2	
KARUTURI GLOBAL LIMITED GDR	0.0000	0.0000	0.0000	0.0000	MP1	C:\ms\sgx2	
KARIN TECHNOLOGY HLDGS LIMITED	0.0210	0.0419	0.3200	0.2781	K29	C:\ms\sgx2	
K1 VENTURES LIMITED	0.0033	0.0066	0.1670	0.1604	K01	C:\ms\sgx2	
K. S. OILS LIMITED GDR	0.0000	0.0000	0.0000	0.0000	DZ9	C:\ms\sgx2	
K-GREEN TRUST	0.0160	0.0321	1.0700	1.0379	LH4U	C:\ms\sgx2	
JUNMA TYRE CORD COMPANY LTD	0.0008	0.0016	0.1650	0.1634	5TF	C:\ms\sgx2	
JUBILEE INDUSTRIES HLDGS LTD	0.0164	0.0328	0.2350	0.2022	5OS	C:\ms\sgx2	
JOYAS INTERNATIONAL HLDGS LTD	0.0004	0.0008	0.0490	0.0482	E9L	C:\ms\sgx2	
JK TECH HOLDINGS LIMITED	0.0012	0.0023	0.0890	0.0867	5TS	C:\ms\sgx2	
JIUTIAN CHEMICAL GRP LTD	0.0036	0.0073	0.1020	0.0947	C8R	C:\ms\sgx2	
JETS TECHNICS INTL HLDGS LTD	0.0000	0.0000	0.0030	0.0030	J19	C:\ms\sgx2	
JES INTERNATIONAL HOLDINGS LTD	0.0034	0.0069	0.1610	0.1541	EG0	C:\ms\sgx2	
JEP HOLDINGS LTD	0.0008	0.0017	0.0400	0.0383	5FA	C:\ms\sgx2	
JB FOODS LIMITED	0.0169	0.0337	0.4200	0.3863	Q0W	C:\ms\sgx2	
JAYA HOLDINGS LTD	0.0191	0.0383	0.6100	0.5717	J10	C:\ms\sgx2	
JASPER INVESTMENTS LIMITED	0.0014	0.0027	0.0530	0.0503	FQ7	C:\ms\sgx2	
JASON PARQUET HOLDINGS LIMITED	0.0013	0.0025	0.2000	0.1975	5UU	C:\ms\sgx2	
JASON MARINE GROUP LIMITED	0.0036	0.0072	0.1400	0.1328	5PF	C:\ms\sgx2	
JARDINE STRATEGIC HLDGS LTD	0.7229	1.4457	40.1100	38.6643	J37	C:\ms\sgx2	
JARDINE MATHESON HLDGS LTD	1.1861	2.3723	65.7000	63.3277	J36	C:\ms\sgx2	
JARDINE C&C	1.2985	2.5970	46.7500	44.1530	C07	C:\ms\sgx2	
JAPAN FOODS HOLDING LTD.	0.0128	0.0256	0.5200	0.4944	5OI	C:\ms\sgx2	
JADASON ENTERPRISES LTD	0.0012	0.0024	0.0520	0.0496	J03	C:\ms\sgx2	
JACKSPEED CORPORATION LIMITED	0.0030	0.0060	0.0910	0.0850	J17	C:\ms\sgx2	
JACKS INTERNATIONAL LIMITED	0.0011	0.0023	0.0900	0.0877	J11	C:\ms\sgx2	
ITE ELECTRIC CO LTD	0.0010	0.0020	0.0620	0.0600	581	C:\ms\sgx2	
ISHARES USD ASIA HY BOND ETFS$	0.0226	0.0452	14.2900	14.2448	QL3	C:\ms\sgx2	
ISHARES USD ASIA HY BOND ETF	0.0645	0.1290	11.1800	11.0510	O9P	C:\ms\sgx2	
ISHARES USD ASIA BOND ETF S$	0.0104	0.0207	13.5500	13.5293	QL2	C:\ms\sgx2	
ISHARES USD ASIA BOND ETF	0.0734	0.1468	10.6000	10.4532	N6M	C:\ms\sgx2	
ISHARES S&P500 IVV 10	0.3811	0.7623	166.4800	165.7177	I17	C:\ms\sgx2	
ISHARES MSCI SINGAPORE EWS 100	0.0821	0.1643	14.0200	13.8557	I19	C:\ms\sgx2	
ISHARES DJ US TECH IYW 10	0.0312	0.0623	72.7500	72.6877	I21	C:\ms\sgx2	
ISHARES ASIALOC CURBOND ETF S$	0.0052	0.0105	13.4200	13.4095	QL1	C:\ms\sgx2	
ISHARES ASIA LOC CUR BOND ETF	0.0376	0.0752	10.3500	10.2748	N6L	C:\ms\sgx2	
ISHARES ASIA LC1-3YBOND ETF S$	0.0086	0.0171	13.1500	13.1329	QL0	C:\ms\sgx2	
ISHARES ASIA LC 1-3Y BOND ETF	0.0042	0.0083	10.5500	10.5417	O9Q	C:\ms\sgx2	
ISETAN (SINGAPORE) LTD	0.0312	0.0623	4.8000	4.7377	I15	C:\ms\sgx2	
ISDN HOLDINGS LIMITED	0.0327	0.0654	1.0300	0.9646	I07	C:\ms\sgx2	
IS MSCI INDIA 100 S$	0.0379	0.0759	7.9800	7.9041	QK9	C:\ms\sgx2	
IS MSCI INDIA 100	0.1096	0.2192	6.1800	5.9608	I98	C:\ms\sgx2	
IPCO INT'L LIMITED	0.0014	0.0028	0.0280	0.0252	I11	C:\ms\sgx2	
IPC CORPORATION LIMITED	0.0054	0.0108	0.1660	0.1552	I12	C:\ms\sgx2	
INVESTMENT BEVER BUSINESS FUND	0.0000	0.0000	0.0000	0.0000	J0T	C:\ms\sgx2	
INTRACO LTD	0.0130	0.0259	0.6450	0.6191	I06	C:\ms\sgx2	
INTERRA	0.0161	0.0322	0.4700	0.4378	5GI	C:\ms\sgx2	
INTERNET TECHNOLOGY GRP LTD	0.0151	0.0301	0.1410	0.1109	N6H	C:\ms\sgx2	
INTERNATIONAL PRESS SOFTCOM	0.0043	0.0086	0.0440	0.0354	571	C:\ms\sgx2	
INNOVALUES PRECISION LIMITED	0.0018	0.0036	0.1050	0.1014	591	C:\ms\sgx2	
INNOTEK LTD	0.0068	0.0136	0.2900	0.2764	M14	C:\ms\sgx2	
INNO-PACIFIC HOLDINGS LTD	0.0040	0.0079	0.1910	0.1831	I26	C:\ms\sgx2	
INFORMATICS HOLDINGS LTD	0.0027	0.0055	0.0960	0.0905	I03	C:\ms\sgx2	
INFINIO GRP LTD	0.0005	0.0010	0.0040	0.0030	5CS	C:\ms\sgx2	
INDOFOOD AGRI RESOURCES LTD.	0.0240	0.0479	1.0050	0.9571	5JS	C:\ms\sgx2	
INDIABULLS PROPERTIES INVTRUST	0.0013	0.0026	0.1100	0.1074	F3EU	C:\ms\sgx2	
INCH KENNETH KAJANG RUBBER PLC	0.0000	0.0000	0.0000	0.0000	I4R	C:\ms\sgx2	
IHH HEALTHCARE BERHAD	0.0271	0.0543	1.6100	1.5557	Q0F	C:\ms\sgx2	
IFS CAPITAL LTD	0.0073	0.0146	0.5050	0.4904	I49	C:\ms\sgx2	
IEV HOLDINGS LIMITED	0.0143	0.0287	0.4500	0.4213	5TN	C:\ms\sgx2	
ICP LTD	0.0004	0.0009	0.0040	0.0031	536	C:\ms\sgx2	
HYFLUX LTD	0.0245	0.0489	1.3400	1.2911	600	C:\ms\sgx2	
HYFLUX 6% CUM PREF CLASS A 10	0.3105	0.6211	108.3000	107.6789	N2H	C:\ms\sgx2	
HWA HONG CORP LTD	0.0042	0.0083	0.3450	0.3367	H19	C:\ms\sgx2	
HUTCHISON PORT HOLDINGS TRUST	0.0150	0.0301	0.7900	0.7599	NS8U	C:\ms\sgx2	
