Security Name	ATR	ATR2	Close	Stop	Ticker Symbol	Location	
TRITECH GROUP LIMITED	0.0013	0.0026	0.2350	0.2324	5NL	C:\ms\sgx2	
TREK 2000 INT'L LTD	0.0037	0.0073	0.2200	0.2127	5AB	C:\ms\sgx2	
TRAVELITE HOLDINGS LTD.	0.0009	0.0019	0.1600	0.1581	5KH	C:\ms\sgx2	
TRANSVIEW HOLDINGS LIMITED	0.0005	0.0010	0.1070	0.1060	T19	C:\ms\sgx2	
TRANSPAC INDUSTRIAL HLDGS LTD	0.0433	0.0866	1.9200	1.8334	T55	C:\ms\sgx2	
TRANSIT-MIXED CONCRETE LTD	0.0053	0.0105	0.3300	0.3195	570	C:\ms\sgx2	
TRANSCU GRP LTD	0.0011	0.0022	0.0120	0.0098	E15	C:\ms\sgx2	
TPV TECHNOLOGY LIMITED	0.0052	0.0104	0.3300	0.3196	T18	C:\ms\sgx2	
TOTAL ACCESS COMM PUB CO LTD	0.0539	0.1078	3.9500	3.8422	B2W	C:\ms\sgx2	
TOSEI CORPORATION	0.0000	0.0000	0.0000	0.0000	S2D	C:\ms\sgx2	
TOP GLOBAL LIMITED	0.0007	0.0013	0.0090	0.0077	519	C:\ms\sgx2	
TMC INT'L HOLDINGS LTD	0.0003	0.0005	0.0650	0.0645	586	C:\ms\sgx2	
TIONG WOON CORP HOLDING LTD	0.0114	0.0228	0.3700	0.3472	T06	C:\ms\sgx2	
TIONG SENG HOLDINGS LIMITED	0.0065	0.0131	0.2650	0.2519	K2P	C:\ms\sgx2	
TIGER AIRWAYS HOLDINGS LIMITED	0.0101	0.0202	0.6400	0.6198	J7X	C:\ms\sgx2	
TIGER AIRWAYS HOLDINGS 200	0.0268	0.0536	0.6550	0.6014	S5X	C:\ms\sgx2	
TIANJIN ZHONG XIN PHARM GROUP	0.0366	0.0733	1.2000	1.1267	T14	C:\ms\sgx2	
THE HOUR GLASS LTD	0.0237	0.0474	1.8300	1.7826	E5P	C:\ms\sgx2	
THAKRAL CORPORATION LTD	0.0008	0.0015	0.0320	0.0305	T04	C:\ms\sgx2	
THAI VILLAGE HOLDINGS LTD	0.0013	0.0027	0.1160	0.1133	596	C:\ms\sgx2	
THAI BEVERAGE PUBLIC CO LTD	0.0192	0.0385	0.6550	0.6165	Y92	C:\ms\sgx2	
TEXCHEM-PACK HOLDINGS (S) LTD.	0.0004	0.0008	0.0820	0.0812	AI1	C:\ms\sgx2	
TELEDATA (SINGAPORE) LTD	0.0010	0.0021	0.0140	0.0119	T28	C:\ms\sgx2	
TELECHOICE INTERNATIONAL LTD	0.0058	0.0115	0.2350	0.2235	T41	C:\ms\sgx2	
TEHO INTERNATIONAL INC LTD.	0.0005	0.0011	0.1600	0.1589	5OQ	C:\ms\sgx2	
TEE INTERNATIONAL LIMITED	0.0179	0.0357	0.4400	0.4043	M1Z	C:\ms\sgx2	
TECKWAH INDUSTRIAL CORP LTD	0.0052	0.0103	0.3600	0.3497	561	C:\ms\sgx2	
TECHNICS OIL & GAS LIMITED	0.0164	0.0328	0.8400	0.8072	5CQ	C:\ms\sgx2	
