Tai Sin Electric Limited,500.SI,SES,Singapore
Hiap Seng Engineering Limited,510.SI,SES,Singapore
HG Metal Manufacturing Ltd.,526.SI,SES,Singapore
Second Chance Properties,528.SI,SES,Singapore
Food Junction Holdings Ltd.,529.SI,SES,Singapore
ABR Holdings Ltd.,533.SI,SES,Singapore
VibroPower Corporation Limited,535.SI,SES,Singapore
ASJ Holdings Limited,538.SI,SES,Singapore
Noel Gifts International Ltd.,543.SI,SES,Singapore
CSE Global Ltd.,544.SI,SES,Singapore
Nobel Design Holdings Ltd.,547.SI,SES,Singapore
Elite KSB Holdings Ltd.,550.SI,SES,Singapore
Qian Hu Corporation Limited,552.SI,SES,Singapore
King Wan Corporation Limited,554.SI,SES,Singapore
UMS Holdings Limited,558.SI,SES,Singapore
Aztech Group Ltd,560.SI,SES,Singapore
Teckwah Industrial,561.SI,SES,Singapore
Spindex Industries Limited,564.SI,SES,Singapore
See Hup Seng Ltd.,566.SI,SES,Singapore
Baker Technology Ltd.,568.SI,SES,Singapore
Vicplas International Ltd.,569.SI,SES,Singapore
Challenger Tech.,573.SI,SES,Singapore
Asti Holdings Limited,575.SI,SES,Singapore
KS Energy Limited,578.SI,SES,Singapore
Oceanus Group Ltd.,579.SI,SES,Singapore
Health Management,588.SI,SES,Singapore
Innovalues Limited,591.SI,SES,Singapore
Lee Metal Group Ltd.,593.SI,SES,Singapore
Thai Village Holdings Ltd.,596.SI,SES,Singapore
Trek 2000 International Ltd.,5AB.SI,SES,Singapore
AP Oil International Limited,5AU.SI,SES,Singapore
Lantrovision S Ltd.,5BH.SI,SES,Singapore
Koda Ltd.,5BK.SI,SES,Singapore
MFS Technology Ltd.,5BM.SI,SES,Singapore
Swing Media Technology,5BQ.SI,SES,Singapore
OKP Holdings Ltd.,5CF.SI,SES,Singapore
DMX Technologies Group Limited,5CH.SI,SES,Singapore
Sinwa Limited,5CN.SI,SES,Singapore
Silverlake Axis Ltd.,5CP.SI,SES,Singapore
Technics Oil & Gas Ltd.,5CQ.SI,SES,Singapore
Ecowise Holdings Ltd.,5CT.SI,SES,Singapore
BreadTalk Group Ltd.,5DA.SI,SES,Singapore
Micro-Mechanics holdings,5DD.SI,SES,Singapore
Koon Holdings Limited,5DL.SI,SES,Singapore
Ying Li International,5DM.SI,SES,Singapore
Ezra Holdings Limited,5DN.SI,SES,Singapore
Heeton Holdings Limited,5DP.SI,SES,Singapore
Asiasons WFG Financial Ltd.,5EC.SI,SES,Singapore
Midas Holdings Limited,5EN.SI,SES,Singapore
Best world international Ltd.,5ER.SI,SES,Singapore
Asiasons Capital Ltd.,5ET.SI,SES,Singapore
Advance Sct Limited,5FH.SI,SES,Singapore
Falcon Energy Group Ltd.,5FL.SI,SES,Singapore
Etika International,5FR.SI,SES,Singapore
CNA Group Ltd.,5GC.SI,SES,Singapore
