505,20130606,0.1,0.103,0.1,0.103,598000
505,20130605,0.099,0.102,0.099,0.102,1111000
505,20130604,0.099,0.103,0.097,0.099,1305000
505,20130603,0.098,0.098,0.098,0.098,26000
505,20130531,0.097,0.101,0.095,0.096,870000
505,20130530,0.098,0.098,0.097,0.097,188000
505,20130529,0.099,0.104,0.098,0.101,594000
505,20130528,0.099,0.099,0.098,0.099,103000
505,20130527,0.098,0.098,0.098,0.098,0
505,20130523,0.098,0.098,0.098,0.098,82000
505,20130522,0.102,0.102,0.1,0.1,230000
505,20130521,0.1,0.101,0.099,0.099,111000
505,20130520,0.104,0.104,0.104,0.104,50000
505,20130517,0.1,0.1,0.1,0.1,239000
505,20130516,0.1,0.1,0.098,0.098,256000
505,20130515,0.101,0.102,0.101,0.101,73000
505,20130514,0.101,0.101,0.101,0.101,18000
505,20130513,0.102,0.106,0.101,0.106,81000
505,20130510,0.105,0.105,0.103,0.105,353000
505,20130509,0.103,0.108,0.103,0.105,406000
505,20130508,0.103,0.105,0.1,0.102,271000
505,20130507,0.099,0.101,0.099,0.101,408000
505,20130506,0.1,0.1,0.098,0.098,353000
