568,20130606,0.305,0.305,0.305,0.305,873000
568,20130605,0.31,0.315,0.305,0.31,751000
568,20130604,0.315,0.315,0.305,0.31,2104000
568,20130603,0.3,0.315,0.3,0.31,3545000
568,20130531,0.31,0.31,0.3,0.3,1814000
568,20130530,0.31,0.31,0.3,0.3,2879000
568,20130529,0.315,0.315,0.305,0.31,2313000
568,20130528,0.305,0.315,0.305,0.315,3411000
568,20130527,0.305,0.31,0.305,0.305,663000
568,20130523,0.315,0.32,0.3,0.305,4906000
568,20130522,0.3,0.32,0.3,0.315,15927000
568,20130521,0.3,0.3,0.295,0.295,2010000
568,20130520,0.295,0.3,0.295,0.295,2393000
568,20130517,0.295,0.3,0.295,0.295,1537000
568,20130516,0.29,0.3,0.29,0.295,5444000
568,20130515,0.295,0.295,0.29,0.29,6113000
568,20130514,0.3,0.3,0.295,0.295,2743000
568,20130513,0.31,0.31,0.295,0.3,5215000
568,20130510,0.315,0.315,0.31,0.31,3478000
568,20130509,0.315,0.315,0.31,0.315,2817000
568,20130508,0.32,0.32,0.31,0.315,3874000
568,20130507,0.32,0.32,0.31,0.32,8039000
568,20130506,0.43,0.43,0.425,0.425,15377000
